"sample_index","file_name","timestamp","byte_4","byte_4_diff","driving_state"
"371","00000001-69B44F7F.MF4","76.4358","255","1.0","idle"
"372","00000001-69B44F7F.MF4","76.6338","254","1.0","idle"
"373","00000001-69B44F7F.MF4","76.8318","255","1.0","idle"
"374","00000001-69B44F7F.MF4","77.0298","255","0.0","idle"
"375","00000001-69B44F7F.MF4","77.22794999999999","251","4.0","idle"
"376","00000001-69B44F7F.MF4","77.4258","252","1.0","idle"
"377","00000001-69B44F7F.MF4","77.6238","252","0.0","idle"
"378","00000001-69B44F7F.MF4","77.8218","252","0.0","idle"
"379","00000001-69B44F7F.MF4","78.01979999999999","253","1.0","idle"
"380","00000001-69B44F7F.MF4","78.218","254","1.0","idle"
"381","00000001-69B44F7F.MF4","78.41579999999999","254","0.0","idle"
"382","00000001-69B44F7F.MF4","78.61385","254","0.0","idle"
"383","00000001-69B44F7F.MF4","78.81184999999999","0","254.0","driving"
"384","00000001-69B44F7F.MF4","79.00985","0","0.0","idle"
"385","00000001-69B44F7F.MF4","79.208","2","2.0","idle"
"386","00000001-69B44F7F.MF4","79.4058","4","2.0","idle"
"387","00000001-69B44F7F.MF4","79.60379999999999","3","1.0","idle"
"388","00000001-69B44F7F.MF4","79.8018","4","1.0","idle"
"389","00000001-69B44F7F.MF4","79.9998","1","3.0","idle"
"390","00000001-69B44F7F.MF4","80.19805","0","1.0","idle"
"391","00000001-69B44F7F.MF4","80.3958","0","0.0","idle"
"392","00000001-69B44F7F.MF4","80.5938","0","0.0","idle"
"393","00000001-69B44F7F.MF4","80.7918","254","254.0","driving"
"394","00000001-69B44F7F.MF4","80.98984999999999","0","254.0","driving"
"395","00000001-69B44F7F.MF4","81.188","1","1.0","idle"
"396","00000001-69B44F7F.MF4","81.38584999999999","3","2.0","idle"
"397","00000001-69B44F7F.MF4","81.58385","5","2.0","idle"
"398","00000001-69B44F7F.MF4","81.78184999999999","3","2.0","idle"
"399","00000001-69B44F7F.MF4","81.97985","0","3.0","idle"
"400","00000001-69B44F7F.MF4","82.17795","0","0.0","idle"
"401","00000001-69B44F7F.MF4","82.3758","255","255.0","driving"
"402","00000001-69B44F7F.MF4","82.57379999999999","0","255.0","driving"
"403","00000001-69B44F7F.MF4","82.77185","0","0.0","idle"
"404","00000001-69B44F7F.MF4","82.96979999999999","254","254.0","driving"
"405","00000001-69B44F7F.MF4","83.16794999999999","254","0.0","idle"
